Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-7149.327	-7134.313	-15.01371	0.9442227	1	0.137997	-0.05154475	0.179837	0.159985	0.207787	0.108091	0.0486253	0.295675	0.1184306	0.136954	0.476752	1	2.38629	0.00661659	0.0933219	0.793416	0.106645	0.06688588	1.770637
0	-7149.327	-7134.313	-15.01371	0.9442227	1	0.137997	-0.05154475	0.179837	0.159985	0.207787	0.108091	0.0486253	0.295675	0.1184306	0.136954	0.476752	1	2.38629	0.00661659	0.0933219	0.793416	0.106645	0.06688588	1.770637
10	-4090.17	-4076.912	-13.25735	0.5329654	0.2717911	0.1108167	-0.0003162188	0.0774329	0.454126	0.130651	0.0884958	0.131293	0.118001	0.03803786	0.00328646	0.0828184	0.545245	3.36865	0.211361	0.349268	0.129277	0.310094	0.03772164	1.008383
10	-4090.17	-4076.912	-13.25735	0.5329654	0.2717911	0.1108167	-0.0003162188	0.0774329	0.454126	0.130651	0.0884958	0.131293	0.118001	0.03803786	0.00328646	0.0828184	0.545245	3.36865	0.211361	0.349268	0.129277	0.310094	0.03772164	1.008383
20	-3861.82	-3848.013	-13.80682	0.5208196	0.2934071	0.147623	-0.04484323	0.0229178	0.662263	0.0591618	0.0473215	0.181368	0.0269679	0.07061578	0.00477577	0.099377	0.584563	3.31128	0.229448	0.339211	0.106471	0.32487	0.02577256	2.73996
20	-3861.82	-3848.013	-13.80682	0.5208196	0.2934071	0.147623	-0.04484323	0.0229178	0.662263	0.0591618	0.0473215	0.181368	0.0269679	0.07061578	0.00477577	0.099377	0.584563	3.31128	0.229448	0.339211	0.106471	0.32487	0.02577256	2.73996
30	-3759.012	-3743.685	-15.32701	0.394194	0.2548515	0.1998008	0.07632224	0.00604385	0.586706	0.0169926	0.0250761	0.358174	0.00700797	0.06581341	0.00234562	0.0702153	0.511606	3.41583	0.279096	0.317307	0.132303	0.271293	0.1421357	0.4630324
30	-3759.012	-3743.685	-15.32701	0.394194	0.2548515	0.1998008	0.07632224	0.00604385	0.586706	0.0169926	0.0250761	0.358174	0.00700797	0.06581341	0.00234562	0.0702153	0.511606	3.41583	0.279096	0.317307	0.132303	0.271293	0.1421357	0.4630324
40	-3741.581	-3725.48	-16.1012	0.3153001	0.2355827	0.249317	-0.04614993	0.0121477	0.495687	0.0119603	0.0187743	0.453047	0.00838374	0.1491126	0.00150655	0.0564941	0.47008	3.47192	0.316303	0.294362	0.122125	0.267209	0.1029626	1.44822
