Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-3742.77	-3726.95	-15.81919	0.3190705	0.2188359	0.1884625	-0.1673555	0.0209543	0.558943	0.00923994	0.00829146	0.394159	0.00841195	0.2294949	0.000962273	0.0452993	0.431011	3.52273	0.310043	0.29277	0.128574	0.268614	0.06213937	3.693229
110	-3739.238	-3720.762	-18.47654	0.3270712	0.2205274	0.2418968	0.1600983	0.0144816	0.493214	0.00540511	0.00644275	0.472615	0.00784124	0.1784461	0.00100997	0.0463933	0.435086	3.51751	0.301094	0.29474	0.133245	0.270922	0.3385444	0.5270982
110	-3739.238	-3720.762	-18.47654	0.3270712	0.2205274	0.2418968	0.1600983	0.0144816	0.493214	0.00540511	0.00644275	0.472615	0.00784124	0.1784461	0.00100997	0.0463933	0.435086	3.51751	0.301094	0.29474	0.133245	0.270922	0.3385444	0.5270982
120	-3740.026	-3724.403	-15.62369	0.2927426	0.1839548	0.2348964	-0.09539295	0.0202539	0.4806	0.00917937	0.00412894	0.479088	0.00675015	0.1571917	0.000290832	0.025062	0.340504	3.63414	0.300792	0.301575	0.13955	0.258083	0.0617988	2.543605
120	-3740.026	-3724.403	-15.62369	0.2927426	0.1839548	0.2348964	-0.09539295	0.0202539	0.4806	0.00917937	0.00412894	0.479088	0.00675015	0.1571917	0.000290832	0.025062	0.340504	3.63414	0.300792	0.301575	0.13955	0.258083	0.0617988	2.543605
130	-3742.976	-3727.083	-15.89371	0.3390827	0.2408561	0.19667	0.1253841	0.0207216	0.480429	0.00659524	0.00397479	0.478917	0.00936324	0.07816342	0.00171265	0.0601705	0.481802	3.45632	0.309274	0.278968	0.133741	0.278017	0.2035475	0.3840058
130	-3742.976	-3727.083	-15.89371	0.3390827	0.2408561	0.19667	0.1253841	0.0207216	0.480429	0.00659524	0.00397479	0.478917	0.00936324	0.07816342	0.00171265	0.0601705	0.481802	3.45632	0.309274	0.278968	0.133741	0.278017	0.2035475	0.3840058
140	-3742.314	-3727.632	-14.68224	0.3540671	0.2206176	0.2076356	-0.02560526	0.0252156	0.492346	0.00679446	0.00243163	0.463057	0.0101557	0.0799342	0.00101256	0.0464519	0.435303	3.51723	0.300085	0.296592	0.143604	0.259719	0.05432894	1.471301
140	-3742.314	-3727.632	-14.68224	0.3540671	0.2206176	0.2076356	-0.02560526	0.0252156	0.492346	0.00679446	0.00243163	0.463057	0.0101557	0.0799342	0.00101256	0.0464519	0.435303	3.51723	0.300085	0.296592	0.143604	0.259719	0.05432894	1.471301
150	-3745.166	-3730.817	-14.34874	0.3888046	0.2431072	0.1916496	-0.03387381	0.0139711	0.550671	0.0124903	0.00163298	0.409248	0.0119867	0.07406593	0.00180593	0.0617593	0.486723	3.44971	0.301742	0.289083	0.138754	0.270421	0.04019212	1.842797
150	-3745.166	-3730.817	-14.34874	0.3888046	0.2431072	0.1916496	-0.03387381	0.0139711	0.550671	0.0124903	0.00163298	0.409248	0.0119867	0.07406593	0.00180593	0.0617593	0.486723	3.44971	0.301742	0.289083	0.138754	0.270421	0.04019212	1.842797
160	-3747.509	-3732.603	-14.90562	0.4021977	0.2638159	0.2215053	-0.04901004	0.0243427	0.526141	0.00543716	0.00458436	0.426091	0.0134035	0.09529888	0.00281914	0.0768334	0.52973	3.39062	0.283222	0.316451	0.126674	0.273653	0.04628884	2.058787
160	-3747.509	-3732.603	-14.90562	0.4021977	0.2638159	0.2215053	-0.04901004	0.0243427	0.526141	0.00543716	0.00458436	0.426091	0.0134035	0.09529888	0.00281914	0.0768334	0.52973	3.39062	0.283222	0.316451	0.126674	0.273653	0.04628884	2.058787
170	-3743.831	-3728.304	-15.52693	0.332227	0.2149146	0.2627499	0.04580772	0.0096911	0.488646	0.017789	0.00245781	0.46729	0.0141257	0.06399348	0.000857664	0.0427984	0.421452	3.53489	0.309773	0.297336	0.133644	0.259248	0.1098012	0.5828122
170	-3743.831	-3728.304	-15.52693	0.332227	0.2149146	0.2627499	0.04580772	0.0096911	0.488646	0.017789	0.00245781	0.46729	0.0141257	0.06399348	0.000857664	0.0427984	0.421452	3.53489	0.309773	0.297336	0.133644	0.259248	0.1098012	0.5828122
180	-3745.241	-3728.858	-16.38293	0.3334484	0.2103593	0.2476704	-0.02469243	0.00961744	0.546892	0.00715385	0.00760393	0.417598	0.0111348	0.1537505	0.000746291	0.0399574	0.41015	3.54915	0.296719	0.322472	0.105382	0.275427	0.1290581	1.191328
180	-3745.241	-3728.858	-16.38293	0.3334484	0.2103593	0.2476704	-0.02469243	0.00961744	0.546892	0.00715385	0.00760393	0.417598	0.0111348	0.1537505	0.000746291	0.0399574	0.41015	3.54915	0.296719	0.322472	0.105382	0.275427	0.1290581	1.191328
190	-3741.299	-3725.675	-15.6241	0.3350088	0.2381755	0.2323679	-0.01298027	0.0151196	0.583051	0.0100128	0.0030284	0.374593	0.0141946	0.1145082	0.00160572	0.0582935	0.475877	3.46422	0.272971	0.30643	0.133263	0.287336	0.101528	1.127849
190	-3741.299	-3725.675	-15.6241	0.3350088	0.2381755	0.2323679	-0.01298027	0.0151196	0.583051	0.0100128	0.0030284	0.374593	0.0141946	0.1145082	0.00160572	0.0582935	0.475877	3.46422	0.272971	0.30643	0.133263	0.287336	0.101528	1.127849
200	-3743.677	-3724.495	-19.18265	0.2708512	0.2284529	0.2659149	-0.03579575	0.00803543	0.560159	0.00853857	0.00326691	0.396708	0.0232919	0.3144139	0.00125486	0.0516328	0.453792	3.49332	0.291985	0.309853	0.136763	0.261399	0.2786182	1.128476
200	-3743.677	-3724.495	-19.18265	0.2708512	0.2284529	0.2659149	-0.03579575	0.00803543	0.560159	0.00853857	0.00326691	0.396708	0.0232919	0.3144139	0.00125486	0.0516328	0.453792	3.49332	0.291985	0.309853	0.136763	0.261399	0.2786182	1.128476
210	-3744.089	-3720.75	-23.33976	0.2698705	0.1930717	0.2385592	0.8467199	0.0159397	0.547624	0.00981731	0.00234413	0.411224	0.0130504	0.1215663	0.000414611	0.0298766	0.365335	3.60437	0.299059	0.304259	0.132466	0.264216	0.9682862	0.1255479
210	-3744.089	-3720.75	-23.33976	0.2698705	0.1930717	0.2385592	0.8467199	0.0159397	0.547624	0.00981731	0.00234413	0.411224	0.0130504	0.1215663	0.000414611	0.0298766	0.365335	3.60437	0.299059	0.304259	0.132466	0.264216	0.9682862	0.1255479
220	-3742.51	-3724.937	-17.57301	0.2886259	0.231579	0.2910801	-0.03669944	0.0165284	0.496002	0.00941618	0.00177617	0.470227	0.00605039	0.2093165	0.00136146	0.053748	0.460996	3.48389	0.26516	0.317847	0.135511	0.281482	0.1726171	1.212606
220	-3742.51	-3724.937	-17.57301	0.2886259	0.231579	0.2910801	-0.03669944	0.0165284	0.496002	0.00941618	0.00177617	0.470227	0.00605039	0.2093165	0.00136146	0.053748	0.460996	3.48389	0.26516	0.317847	0.135511	0.281482	0.1726171	1.212606
230	-3743.842	-3727.227	-16.61441	0.2752238	0.196236	0.2746909	-0.0833153	0.0143003	0.453783	0.00390526	0.000800374	0.515649	0.0115622	0.1904639	0.000465304	0.0316326	0.373763	3.59414	0.307982	0.285345	0.14388	0.262793	0.1071486	1.777568
230	-3743.842	-3727.227	-16.61441	0.2752238	0.196236	0.2746909	-0.0833153	0.0143003	0.453783	0.00390526	0.000800374	0.515649	0.0115622	0.1904639	0.000465304	0.0316326	0.373763	3.59414	0.307982	0.285345	0.14388	0.262793	0.1071486	1.777568
240	-3741.926	-3725.829	-16.09723	0.2677478	0.2403641	0.2534376	-0.1827222	0.0120503	0.51973	0.011959	0.00546822	0.436797	0.0139962	0.2192318	0.00169269	0.0598248	0.48072	3.45776	0.307759	0.312003	0.120764	0.259474	0.03650961	6.00477
240	-3741.926	-3725.829	-16.09723	0.2677478	0.2403641	0.2534376	-0.1827222	0.0120503	0.51973	0.011959	0.00546822	0.436797	0.0139962	0.2192318	0.00169269	0.0598248	0.48072	3.45776	0.307759	0.312003	0.120764	0.259474	0.03650961	6.00477
250	-3745.745	-3729.536	-16.20896	0.3331643	0.1697061	0.226598	0.009248072	0.019311	0.560208	0.00266299	0.00224996	0.404249	0.0113191	0.1395268	0.000154785	0.018326	0.300163	3.68136	0.288605	0.317528	0.133978	0.259889	0.1487749	0.9378385
250	-3745.745	-3729.536	-16.20896	0.3331643	0.1697061	0.226598	0.009248072	0.019311	0.560208	0.00266299	0.00224996	0.404249	0.0113191	0.1395268	0.000154785	0.018326	0.300163	3.68136	0.288605	0.317528	0.133978	0.259889	0.1487749	0.9378385
260	-3741.333	-3726.247	-15.0856	0.3034393	0.2037456	0.2743894	0.02916651	0.0165216	0.501985	0.00475066	0.00450311	0.460658	0.0115812	0.04029567	0.000603089	0.0359639	0.393363	3.57007	0.284717	0.323553	0.13052	0.26121	0.06946218	0.5801095
260	-3741.333	-3726.247	-15.0856	0.3034393	0.2037456	0.2743894	0.02916651	0.0165216	0.501985	0.00475066	0.00450311	0.460658	0.0115812	0.04029567	0.000603089	0.0359639	0.393363	3.57007	0.284717	0.323553	0.13052	0.26121	0.06946218	0.5801095
270	-3743.444	-3728.723	-14.72135	0.2875228	0.2115082	0.2766977	0.0170843	0.0124104	0.580347	0.0124605	0.00263058	0.386519	0.00563186	0.02387077	0.000773373	0.0406672	0.41302	3.54554	0.299845	0.294404	0.126643	0.279107	0.04095507	0.5828527
270	-3743.444	-3728.723	-14.72135	0.2875228	0.2115082	0.2766977	0.0170843	0.0124104	0.580347	0.0124605	0.00263058	0.386519	0.00563186	0.02387077	0.000773373	0.0406672	0.41302	3.54554	0.299845	0.294404	0.126643	0.279107	0.04095507	0.5828527
280	-3739.2	-3724.709	-14.49026	0.2809902	0.2281642	0.2139695	0.00305995	0.0169847	0.556872	0.0141681	0.00502384	0.39994	0.00701061	0.0537445	0.00124531	0.0514388	0.453122	3.49419	0.286715	0.296674	0.137784	0.278828	0.05680445	0.9461319
280	-3739.2	-3724.709	-14.49026	0.2809902	0.2281642	0.2139695	0.00305995	0.0169847	0.556872	0.0141681	0.00502384	0.39994	0.00701061	0.0537445	0.00124531	0.0514388	0.453122	3.49419	0.286715	0.296674	0.137784	0.278828	0.05680445	0.9461319
290	-3738.713	-3721.432	-17.28112	0.2651354	0.197736	0.3302122	0.256019	0.00976551	0.519763	0.0127894	0.00807881	0.445541	0.00406296	0.02547426	0.000490821	0.0324797	0.377723	3.58931	0.283453	0.305589	0.127948	0.283009	0.2814933	0.09049685
290	-3738.713	-3721.432	-17.28112	0.2651354	0.197736	0.3302122	0.256019	0.00976551	0.519763	0.0127894	0.00807881	0.445541	0.00406296	0.02547426	0.000490821	0.0324797	0.377723	3.58931	0.283453	0.305589	0.127948	0.283009	0.2814933	0.09049685
300	-3738.488	-3722.791	-15.69786	0.1646057	0.1773122	0.3491514	0.004599602	0.00991964	0.573434	0.00941598	0.0102161	0.389285	0.00772931	0.05129258	0.000219503	0.0217968	0.32192	3.65606	0.280634	0.294029	0.139136	0.286201	0.05589218	0.9177058
300	-3738.488	-3722.791	-15.69786	0.1646057	0.1773122	0.3491514	0.004599602	0.00991964	0.573434	0.00941598	0.0102161	0.389285	0.00772931	0.05129258	0.000219503	0.0217968	0.32192	3.65606	0.280634	0.294029	0.139136	0.286201	0.05589218	0.9177058
310	-3743.638	-3723.396	-20.24262	0.1751746	0.1663882	0.333743	0.5290675	0.00496623	0.51245	0.0101352	0.0112632	0.457211	0.00397429	0.08282171	0.000131582	0.0169053	0.290525	3.69244	0.270397	0.318261	0.133194	0.278149	0.6118892	0.1353541
310	-3743.638	-3723.396	-20.24262	0.1751746	0.1663882	0.333743	0.5290675	0.00496623	0.51245	0.0101352	0.0112632	0.457211	0.00397429	0.08282171	0.000131582	0.0169053	0.290525	3.69244	0.270397	0.318261	0.133194	0.278149	0.6118892	0.1353541
320	-3739.741	-3719.108	-20.63342	0.184025	0.1847206	0.3487692	-0.5392228	0.0128975	0.549932	0.00544129	0.0161614	0.40975	0.00581794	0.6298554	0.00030003	0.0254519	0.342621	3.63163	0.306909	0.286624	0.126243	0.280224	0.09063265	6.949542
320	-3739.741	-3719.108	-20.63342	0.184025	0.1847206	0.3487692	-0.5392228	0.0128975	0.549932	0.00544129	0.0161614	0.40975	0.00581794	0.6298554	0.00030003	0.0254519	0.342621	3.63163	0.306909	0.286624	0.126243	0.280224	0.09063265	6.949542
330	-3740.003	-3722.557	-17.44616	0.2151064	0.1997633	0.3494037	-0.1690047	0.0131946	0.537021	0.0036094	0.0157965	0.427899	0.00247896	0.2462967	0.000526872	0.0336391	0.38304	3.58279	0.285983	0.308212	0.129424	0.276381	0.07729204	3.186573
330	-3740.003	-3722.557	-17.44616	0.2151064	0.1997633	0.3494037	-0.1690047	0.0131946	0.537021	0.0036094	0.0157965	0.427899	0.00247896	0.2462967	0.000526872	0.0336391	0.38304	3.58279	0.285983	0.308212	0.129424	0.276381	0.07729204	3.186573
340	-3736.657	-3721.59	-15.06701	0.2344143	0.1769354	0.2755027	-0.001893413	0.0150948	0.513578	0.00621542	0.0191066	0.442814	0.0031907	0.05750772	0.00021589	0.021618	0.320854	3.65731	0.309185	0.306635	0.119204	0.264976	0.0556143	1.034045
340	-3736.657	-3721.59	-15.06701	0.2344143	0.1769354	0.2755027	-0.001893413	0.0150948	0.513578	0.00621542	0.0191066	0.442814	0.0031907	0.05750772	0.00021589	0.021618	0.320854	3.65731	0.309185	0.306635	0.119204	0.264976	0.0556143	1.034045
350	-3739.647	-3724.488	-15.15911	0.2275789	0.181385	0.296207	-0.02997484	0.0188719	0.506193	0.00579817	0.0182137	0.447743	0.00318055	0.06512087	0.000261476	0.0237737	0.333363	3.6426	0.313875	0.275473	0.127841	0.282811	0.03514603	1.852866
350	-3739.647	-3724.488	-15.15911	0.2275789	0.181385	0.296207	-0.02997484	0.0188719	0.506193	0.00579817	0.0182137	0.447743	0.00318055	0.06512087	0.000261476	0.0237737	0.333363	3.6426	0.313875	0.275473	0.127841	0.282811	0.03514603	1.852866
360	-3739.6	-3723.331	-16.26971	0.233716	0.2004333	0.3244918	-0.1535657	0.0128003	0.500894	0.00835464	0.0136992	0.462494	0.00175769	0.1785034	0.000539187	0.0340258	0.384788	3.58065	0.30795	0.311475	0.128167	0.252409	0.02493769	7.157976
360	-3739.6	-3723.331	-16.26971	0.233716	0.2004333	0.3244918	-0.1535657	0.0128003	0.500894	0.00835464	0.0136992	0.462494	0.00175769	0.1785034	0.000539187	0.0340258	0.384788	3.58065	0.30795	0.311475	0.128167	0.252409	0.02493769	7.157976
370	-3735.061	-3719.623	-15.43799	0.2270384	0.1973363	0.3114909	-0.03307686	0.00964527	0.531794	0.00518157	0.00878479	0.438909	0.00568556	0.0742004	0.000483925	0.032253	0.37667	3.59059	0.316168	0.307433	0.122853	0.253545	0.04112355	1.804329
370	-3735.061	-3719.623	-15.43799	0.2270384	0.1973363	0.3114909	-0.03307686	0.00964527	0.531794	0.00518157	0.00878479	0.438909	0.00568556	0.0742004	0.000483925	0.032253	0.37667	3.59059	0.316168	0.307433	0.122853	0.253545	0.04112355	1.804329
380	-3739.311	-3721.403	-17.90806	0.2165284	0.1929228	0.3599224	0.1296539	0.0133745	0.543201	0.00712744	0.00865048	0.414867	0.0127794	0.1146288	0.000412328	0.029795	0.364936	3.60486	0.290302	0.298987	0.125816	0.284896	0.2442828	0.4692465
380	-3739.311	-3721.403	-17.90806	0.2165284	0.1929228	0.3599224	0.1296539	0.0133745	0.543201	0.00712744	0.00865048	0.414867	0.0127794	0.1146288	0.000412328	0.029795	0.364936	3.60486	0.290302	0.298987	0.125816	0.284896	0.2442828	0.4692465
390	-3737.037	-3721.069	-15.96882	0.2229324	0.1993322	0.3166559	-0.09940696	0.00990078	0.504634	0.00412192	0.00630034	0.466293	0.00875012	0.1370704	0.000519052	0.0333911	0.381913	3.58418	0.306631	0.298585	0.118164	0.27662	0.03766348	3.639346
390	-3737.037	-3721.069	-15.96882	0.2229324	0.1993322	0.3166559	-0.09940696	0.00990078	0.504634	0.00412192	0.00630034	0.466293	0.00875012	0.1370704	0.000519052	0.0333911	0.381913	3.58418	0.306631	0.298585	0.118164	0.27662	0.03766348	3.639346
400	-3736.31	-3720.741	-15.56846	0.2529275	0.214828	0.2692216	-0.0005807286	0.0163724	0.508029	0.00824749	0.00240373	0.455434	0.00951337	0.08913686	0.000855446	0.0427437	0.421239	3.53516	0.304435	0.281476	0.139302	0.274787	0.08855613	1.006558
400	-3736.31	-3720.741	-15.56846	0.2529275	0.214828	0.2692216	-0.0005807286	0.0163724	0.508029	0.00824749	0.00240373	0.455434	0.00951337	0.08913686	0.000855446	0.0427437	0.421239	3.53516	0.304435	0.281476	0.139302	0.274787	0.08855613	1.006558
410	-3736.956	-3722.002	-14.95319	0.2814043	0.237459	0.250459	-0.07442202	0.0155522	0.590986	0.00754102	0.00276474	0.376728	0.00642791	0.0998893	0.0015779	0.0577947	0.474282	3.46635	0.271625	0.318494	0.135037	0.274844	0.02546728	3.92226
410	-3736.956	-3722.002	-14.95319	0.2814043	0.237459	0.250459	-0.07442202	0.0155522	0.590986	0.00754102	0.00276474	0.376728	0.00642791	0.0998893	0.0015779	0.0577947	0.474282	3.46635	0.271625	0.318494	0.135037	0.274844	0.02546728	3.92226
420	-3740.371	-3724.992	-15.37829	0.2824513	0.2298074	0.2350363	-0.1487033	0.0119115	0.512967	0.00863462	0.00169906	0.454764	0.010024	0.1698017	0.00130034	0.052546	0.456926	3.48923	0.305988	0.300665	0.13729	0.256057	0.02109842	8.048078
420	-3740.371	-3724.992	-15.37829	0.2824513	0.2298074	0.2350363	-0.1487033	0.0119115	0.512967	0.00863462	0.00169906	0.454764	0.010024	0.1698017	0.00130034	0.052546	0.456926	3.48923	0.305988	0.300665	0.13729	0.256057	0.02109842	8.048078
430	-3736.651	-3721.457	-15.1942	0.3149148	0.2111501	0.2272329	0.04795306	0.0126315	0.512782	0.0105615	0.00354942	0.454326	0.00614983	0.06313734	0.000764861	0.0404454	0.412127	3.54666	0.290871	0.293543	0.129628	0.285957	0.1110904	0.568342
430	-3736.651	-3721.457	-15.1942	0.3149148	0.2111501	0.2272329	0.04795306	0.0126315	0.512782	0.0105615	0.00354942	0.454326	0.00614983	0.06313734	0.000764861	0.0404454	0.412127	3.54666	0.290871	0.293543	0.129628	0.285957	0.1110904	0.568342
440	-3744.656	-3728.967	-15.68871	0.3460355	0.2153262	0.2141711	-0.09679318	0.02304	0.515396	0.00571368	0.00526708	0.448316	0.00226669	0.1687164	0.000868258	0.0430585	0.422463	3.53361	0.30061	0.28981	0.145573	0.264006	0.0719232	2.345785
